,Loss
0.0,3206.91748046875
100.0,870.6272583007812
200.0,518.2255249023438
300.0,307.5540771484375
400.0,215.6161651611328
500.0,143.6735076904297
600.0,118.3849868774414
700.0,128.21080017089844
800.0,140.16038513183594
900.0,67.2254867553711
1000.0,59.26553726196289
1100.0,36.73045349121094
1200.0,52.42326736450195
1300.0,46.67172622680664
1400.0,25.752731323242188
1500.0,35.24830627441406
1600.0,38.43351745605469
1700.0,20.533098220825195
1800.0,27.204360961914062
1900.0,25.796173095703125
2000.0,30.90220069885254
2100.0,16.610857009887695
2200.0,20.447429656982422
2300.0,28.514894485473633
2400.0,8.273480415344238
2500.0,23.331527709960938
2600.0,16.639509201049805
2700.0,13.661360740661621
2800.0,13.951499938964844
2900.0,5.650251865386963
3000.0,11.968713760375977
3100.0,11.739096641540527
3200.0,9.31008529663086
3300.0,5.739436626434326
3400.0,6.541196823120117
3500.0,9.243139266967773
3600.0,5.575541973114014
3700.0,4.69386100769043
3800.0,10.76399040222168
3900.0,6.070120334625244
4000.0,3.9632480144500732
4100.0,6.613027572631836
4200.0,8.83290958404541
4300.0,2.1542840003967285
4400.0,9.36959171295166
4500.0,1.6210172176361084
4600.0,6.6724653244018555
4700.0,0.367099791765213
4800.0,1.152740478515625
4900.0,1.4929492473602295
5000.0,0.8653546571731567
5100.0,5.834100723266602
5200.0,1.0178884267807007
5300.0,2.023925304412842
5400.0,0.7330301403999329
5500.0,3.7270219326019287
5600.0,0.04161832109093666
5700.0,0.5526016354560852
5800.0,1.7032047510147095
5900.0,2.629270076751709
6000.0,1.3262567520141602
6100.0,0.26679274439811707
6200.0,0.6304924488067627
6300.0,0.7693709135055542
6400.0,0.25556424260139465
6500.0,1.6036916971206665
6600.0,0.2362530529499054
6700.0,0.364545613527298
6800.0,0.43044179677963257
6900.0,0.13931837677955627
7000.0,2.1911706924438477
7100.0,1.7923645973205566
7200.0,0.8721862435340881
7300.0,0.15963202714920044
7400.0,0.4687952995300293
7500.0,0.9169906973838806
7600.0,0.0
7700.0,0.3646523058414459
7800.0,0.9876745343208313
7900.0,0.6440650820732117
8000.0,0.14880822598934174
8100.0,0.24924302101135254
8200.0,0.2254071980714798
8300.0,1.4354275465011597
8400.0,1.4295930862426758
8500.0,0.6697230339050293
8600.0,0.25332778692245483
8700.0,0.15358763933181763
8800.0,0.6940207481384277
8900.0,0.0
9000.0,0.15370714664459229
9100.0,0.6300901770591736
9200.0,0.3595438599586487
9300.0,2.4921784635978383e-09
9400.0,2.503124596842099e-05
9500.0,0.38305673003196716
9600.0,0.05538786202669144
9700.0,0.0
9800.0,0.0
9900.0,0.0
10000.0,0.183876171708107
10100.0,0.41070613265037537
10200.0,0.0
10300.0,0.44229909777641296
10400.0,3.5123005091008963e-06
10500.0,0.24208180606365204
10600.0,0.3384116590023041
10700.0,0.0
10800.0,0.0
10900.0,0.047911692410707474
11000.0,0.0
11100.0,3.530585157562882e-09
11200.0,0.020046131685376167
11300.0,3.9666748108402317e-08
11400.0,0.1180245503783226
11500.0,0.0
11600.0,0.0
11700.0,0.17370855808258057
11800.0,0.20543530583381653
11900.0,0.0
